sub_category,download_size,speciality,origin_url,download_url,topic,course,department,course_id,department_id
The Developing World,25.65 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-715-spring-2007/ec-715-spring-2007.zip,Society,D-Lab: Disseminating Innovations for the Common Good,Edgerton Center,ec-715-d-lab-disseminating-innovations-for-the-common-good-spring-2007,edgerton-center
The Developing World,25.74 MB,,https://ocw.mit.edu/courses/edgerton-center/ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/EC/ec-722-spring-2010/ec-722-spring-2010.zip,Society,Special Topics at Edgerton Center:Developing World Prosthetics,Edgerton Center,ec-722-special-topics-at-edgerton-center-developing-world-prosthetics-spring-2010,edgerton-center
Computation,13.92 MB,,https://ocw.mit.edu/courses/mathematics/18-405j-advanced-complexity-theory-spring-2016/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/18/18-405j-spring-2016/18-405j-spring-2016.zip,Mathematics,Advanced Complexity Theory,Mathematics,18-405j-advanced-complexity-theory-spring-2016,mathematics
Education Policy,5.12 MB,,https://ocw.mit.edu/courses/urban-studies-and-planning/11-126j-economics-of-education-spring-2007/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/11/11-126j-spring-2007/11-126j-spring-2007.zip,Teaching and Education,Economics of Education,Urban Studies and Planning,11-126j-economics-of-education-spring-2007,urban-studies-and-planning
Climate,43.79 MB,,https://ocw.mit.edu/courses/earth-atmospheric-and-planetary-sciences/12-340-global-warming-science-spring-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/12/12-340-spring-2012/12-340-spring-2012.zip,Energy,Global Warming Science,"Earth, Atmospheric, and Planetary Sciences",12-340-global-warming-science-spring-2012,earth-atmospheric-and-planetary-sciences
Information Technology,27.94 MB,,https://ocw.mit.edu/resources/res-ll-005-d4m-signal-processing-on-databases-fall-2012/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-ll-005-fall-2012/res-ll-005-fall-2012.zip,Business,D4M: Signal Processing on Databases,D4M: Signal Processing on Databases,res-ll-005-d4m-signal-processing-on-databases-fall-2012,resources
Architecture,11.33 MB,Architectural Design,https://ocw.mit.edu/courses/architecture/4-520-computational-design-i-theory-and-applications-fall-2005/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/4/4-520-fall-2005/4-520-fall-2005.zip,Fine Arts,Computational Design I: Theory and Applications,Architecture,4-520-computational-design-i-theory-and-applications-fall-2005,architecture
Cognitive Science,29.40 MB,,https://ocw.mit.edu/courses/brain-and-cognitive-sciences/9-85-infant-and-early-childhood-cognition-fall-2012/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/9/9-85-fall-2012/9-85-fall-2012.zip,Science,Infant and Early Childhood Cognition,Brain and Cognitive Sciences,9-85-infant-and-early-childhood-cognition-fall-2012,brain-and-cognitive-sciences
Public Health,45.21 MB,,https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-811-principles-and-practice-of-assistive-technology-fall-2014/download-course-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/6/6-811-fall-2014/6-811-fall-2014.zip,Health and Medicine,Principles and Practice of Assistive Technology,Electrical Engineering and Computer Science,6-811-principles-and-practice-of-assistive-technology-fall-2014,electrical-engineering-and-computer-science
Computer Science,27.94 MB,Data Mining,https://ocw.mit.edu/resources/res-ll-005-d4m-signal-processing-on-databases-fall-2012/download-resource-materials/,https://ocw.mit.edu/ans15436/ZipForEndUsers/RES/res-ll-005-fall-2012/res-ll-005-fall-2012.zip,Engineering,D4M: Signal Processing on Databases,D4M: Signal Processing on Databases,res-ll-005-d4m-signal-processing-on-databases-fall-2012,resources
